GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US55079185800,55079185800,"Census Tract 1858, Milwaukee County, Wisconsin",1449,184,1390,185,24,33,1336,206,0,9,21,55,0,9,0,9,9,16,0,9,9,16,59,57,30,38,0,9,0,9,0,9,0,9,0,9,29,46,0,9,29,46
1400000US55079185900,55079185900,"Census Tract 1859, Milwaukee County, Wisconsin",1065,210,1065,210,90,91,730,125,0,9,234,189,0,9,0,9,11,17,0,9,11,17,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
1400000US55079186000,55079186000,"Census Tract 1860, Milwaukee County, Wisconsin",1550,198,1496,204,168,86,1262,144,14,13,4,10,0,9,0,9,48,77,0,9,48,77,54,59,14,13,0,9,0,9,0,9,0,9,40,58,0,9,0,9,0,9
1400000US55079186100,55079186100,"Census Tract 1861, Milwaukee County, Wisconsin",2092,313,2008,302,146,91,1439,298,103,118,279,174,0,9,0,9,41,48,17,24,24,32,84,74,12,22,58,70,0,9,0,9,0,9,8,13,6,8,0,9,6,8
1400000US55079186200,55079186200,"Census Tract 1862, Milwaukee County, Wisconsin",1506,153,1427,147,77,68,1249,158,11,22,48,56,0,9,0,9,42,42,0,9,42,42,79,72,39,58,9,21,0,9,0,9,0,9,20,32,11,22,0,9,11,22
1400000US55079186300,55079186300,"Census Tract 1863, Milwaukee County, Wisconsin",3576,251,3343,237,1614,164,1509,211,24,22,84,44,0,9,0,9,112,52,9,17,103,52,233,81,171,74,8,15,0,9,0,9,0,9,37,38,17,17,0,9,17,17
1400000US55079186400,55079186400,"Census Tract 1864, Milwaukee County, Wisconsin",1460,142,1299,134,1032,107,105,35,7,16,110,50,0,9,0,9,45,32,6,13,39,31,161,53,98,51,7,15,0,9,0,9,0,9,56,52,0,9,0,9,0,9
1400000US55079186500,55079186500,"Census Tract 1865, Milwaukee County, Wisconsin",1693,285,845,212,581,162,151,105,0,9,86,94,0,9,0,9,27,25,0,9,27,25,848,221,282,121,8,13,0,9,0,9,0,9,547,206,11,17,0,9,11,17
1400000US55079186600,55079186600,"Census Tract 1866, Milwaukee County, Wisconsin",2266,212,990,267,723,210,177,113,4,8,86,135,0,9,0,9,0,9,0,9,0,9,1276,322,861,279,0,9,0,9,8,11,0,9,361,208,46,34,41,33,5,8
1400000US55079186800,55079186800,"Census Tract 1868, Milwaukee County, Wisconsin",1560,255,872,221,285,104,483,162,6,12,93,84,0,9,0,9,5,11,0,9,5,11,688,211,395,203,11,11,8,13,0,9,0,9,200,140,74,56,0,9,74,56
1400000US55079186900,55079186900,"Census Tract 1869, Milwaukee County, Wisconsin",2353,196,2308,191,1995,208,75,55,0,9,190,94,0,9,8,12,40,38,12,18,28,34,45,33,25,28,0,9,0,9,0,9,9,13,11,16,0,9,0,9,0,9
1400000US55079187000,55079187000,"Census Tract 1870, Milwaukee County, Wisconsin",3466,252,3244,216,2799,288,164,112,27,40,103,78,0,9,27,44,124,78,0,9,124,78,222,130,72,70,27,42,0,9,0,9,0,9,123,98,0,9,0,9,0,9
1400000US55079187200,55079187200,"Census Tract 1872, Milwaukee County, Wisconsin",5783,283,5331,349,3576,297,1478,243,21,24,122,94,0,12,0,12,134,83,0,12,134,83,452,204,235,121,7,14,0,12,0,12,0,12,84,73,126,161,126,161,0,12
1400000US55079187300,55079187300,"Census Tract 1873, Milwaukee County, Wisconsin",6395,313,6127,340,5306,332,18,29,68,102,516,76,0,12,0,12,219,195,17,27,202,192,268,190,172,126,0,12,0,12,0,12,0,12,96,143,0,12,0,12,0,12
1400000US55079187400,55079187400,"Census Tract 1874, Milwaukee County, Wisconsin",3249,277,3039,237,2781,227,150,116,8,16,74,37,0,9,0,9,26,26,0,9,26,26,210,136,81,64,0,9,0,9,0,9,0,9,10,16,119,134,107,133,12,18
1400000US55079980000,55079980000,"Census Tract 9800, Milwaukee County, Wisconsin",0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
1400000US55079990000,55079990000,"Census Tract 9900, Milwaukee County, Wisconsin",0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
